"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","has_prior"
2355061,2495316,1,"186.22(b)","PC","Enhancement",2014-11-04,"Dismissed/Not True","Hispanic","Male",NA,150000,"Request for Warrant",NA,2012-07-17,"N","211/212.5(c)","PC","Felony",2014-11-04,"Guilty",0
2371433,2512815,1,"186.22(b)","PC","Enhancement",2014-05-01,"Dismissed/Not True","Hispanic","Male",NA,1e+06,"Request for Warrant",NA,2011-03-30,"N","10851(a)","VC","Felony",2014-05-01,"Guilty",1
2371565,2512954,1,"186.22(b)(1)","PC","Enhancement",2015-02-26,"Dismissed/Not True","Other","Male",NA,150000,NA,NA,2012-09-25,"N","211/212.5(c)","PC","Felony",2015-02-26,"Guilty",1
2371565,2512954,2,"186.22(b)(1)","PC","Enhancement",2015-02-26,"Dismissed/Not True","Other","Male",NA,150000,NA,NA,2012-09-25,"N","422(a)","PC","Felony",2015-02-26,"Guilty",1
2371565,2512954,3,"186.22(b)(1)","PC","Enhancement",2015-02-26,"True","Other","Male",NA,150000,NA,NA,2012-09-25,"N","236/237(a)","PC","Felony",2015-02-26,"Guilty",1
2381911,2523985,1,"186.22(b)","PC","Enhancement",2014-01-17,"True","Hispanic","Male",NA,1e+05,"Request for Warrant",NA,2012-12-23,"N","21310","PC","Felony",2014-01-17,"Guilty",1
2382419,2524528,1,"186.22(b)","PC","Enhancement",2014-01-09,"True","Hispanic","Male",NA,1e+06,"In Custody",NA,2012-12-24,"N","496(a)","PC","Felony",2014-01-09,"Reduced",1
2383046,2525192,1,"186.22(b)(1)","PC","Enhancement",2013-09-13,"Dismissed/Not True","Hispanic","Male",2012-12-28,45000,"In Custody",NA,2012-12-28,"N","626.9(b)","PC","Felony",2013-09-13,"Dismissed/Not Guilty",1
2383046,2525192,2,"186.22(b)(1)","PC","Enhancement",2013-09-13,"True","Hispanic","Male",2012-12-28,45000,"In Custody",NA,2012-12-28,"N","29800(a)(1)","PC","Felony",2013-09-13,"Guilty",1
2383310,2525479,1,"186.22(b)","PC","Enhancement",2013-01-25,"Dismissed/Not True","White","Male",2012-12-29,25000,"In Custody",NA,2012-12-29,"N","21310","PC","Felony",2013-01-25,"Guilty",0
2383315,2525484,1,"186.22(b)","PC","Enhancement",2013-03-25,"True","White","Male",2013-01-01,1e+05,"In Custody",NA,2013-01-01,"N","459-460(b)","PC","Felony",2013-03-25,"Guilty",1
2383315,2525484,2,"186.22(b)","PC","Enhancement",2013-03-25,"True","White","Male",2013-01-01,1e+05,"In Custody",NA,2013-01-01,"Y","10851(a)","VC","Felony",2013-03-25,"Guilty",1
2383537,2525714,1,"186.22(b)(1)","PC","Enhancement",2013-05-13,"Dismissed/Not True","Hispanic","Male",2013-01-02,1e+05,"In Custody",NA,2013-01-01,"N","245(a)(1)","PC","Felony",2013-05-13,"Guilty",0
2383537,2525720,2,"186.22(b)(1)","PC","Enhancement",2013-06-27,"True","Hispanic","Male",NA,1e+05,"In Custody",NA,2013-01-01,"N","32","PC","Felony",2013-06-27,"Guilty",1
2383632,2525818,1,"186.22(b)","PC","Enhancement",2013-01-25,"Dismissed/Not True","Hispanic","Male",2013-01-02,1e+05,"In Custody",NA,2012-12-21,"N","211/212.5(a)","PC","Felony",2013-01-25,"Dismissed/Not Guilty",0
2383795,2525988,1,"186.22(b)(1)","PC","Enhancement",2018-10-09,"True","Hispanic","Male",NA,150000,"Request for Warrant",NA,2012-12-13,"N","211/212.5(c)","PC","Felony",2018-10-09,"Guilty",1
2383795,2525988,3,"186.22(b)(1)","PC","Enhancement",2019-02-05,"Dismissed/Not True","Hispanic","Male",NA,150000,"Request for Warrant",NA,2012-12-13,"N","245(a)(4)","PC","Felony",2019-02-05,"Dismissed/Not Guilty",1
2383893,2526089,1,"186.22(b)","PC","Enhancement",2014-02-13,"True","Hispanic","Female",2012-11-30,40000,"Appearance Date",NA,2012-04-01,"N","136.1(a)(2)","PC","Felony",2014-02-13,"Reduced",0
2384245,2526457,1,"186.22(b)","PC","Enhancement",2013-06-14,"Dismissed/Not True","Hispanic","Male",2013-01-03,90000,"In Custody",NA,2013-01-03,"N","626.9(b)","PC","Felony",2013-06-14,"Dismissed/Not Guilty",1
2384245,2526457,2,"186.22(b)","PC","Enhancement",2013-06-14,"Dismissed/Not True","Hispanic","Male",2013-01-03,90000,"In Custody",NA,2013-01-03,"N","29800(a)(1)","PC","Felony",2013-06-14,"Guilty",1
2384245,2526457,3,"186.22(b)","PC","Enhancement",2013-06-14,"Dismissed/Not True","Hispanic","Male",2013-01-03,90000,"In Custody",NA,2013-01-03,"N","25850(a)/(c)(4)","PC","Felony",2013-06-14,"Dismissed/Not Guilty",1
2384245,2526458,1,"186.22(b)","PC","Enhancement",2013-07-25,"Dismissed/Not True","Hispanic","Male",2013-01-03,1e+05,"In Custody",NA,2013-01-03,"N","626.9(b)","PC","Felony",2013-07-25,"Dismissed/Not Guilty",1
2384245,2526458,2,"186.22(b)","PC","Enhancement",2013-06-14,"True","Hispanic","Male",2013-01-03,1e+05,"In Custody",NA,2013-01-03,"N","29800(a)(1)","PC","Felony",2013-06-14,"Guilty",1
2384245,2526458,3,"186.22(b)","PC","Enhancement",2013-07-25,"Dismissed/Not True","Hispanic","Male",2013-01-03,1e+05,"In Custody",NA,2013-01-03,"N","25850(a)/(c)(4)","PC","Felony",2013-07-25,"Dismissed/Not Guilty",1
2384513,2526737,1,"186.22(b)(1)","PC","Enhancement",2013-06-18,"Dismissed/Not True","Hispanic","Male",NA,50000,"In Custody",NA,2013-01-05,"N","10851(a)","VC","Felony",2013-06-18,"Reduced",0
2384513,2526737,2,"186.22(b)(1)","PC","Enhancement",2013-06-18,"Dismissed/Not True","Hispanic","Male",NA,50000,"In Custody",NA,2013-01-05,"N","496d(a)","PC","Felony",2013-06-18,"Reduced",0
2384513,2526739,1,"186.22(b)(1)","PC","Enhancement",2013-07-18,"Dismissed/Not True","Hispanic","Male",NA,50000,"In Custody",NA,2013-01-05,"N","10851(a)","VC","Felony",2013-07-18,"Guilty",0
2384513,2526739,2,"186.22(b)(1)","PC","Enhancement",2013-07-18,"Dismissed/Not True","Hispanic","Male",NA,50000,"In Custody",NA,2013-01-05,"N","496d(a)","PC","Felony",2013-07-18,"Dismissed/Not Guilty",0
2384529,2526755,2,"186.22(b)","PC","Enhancement",2013-02-01,"Dismissed/Not True","Hispanic","Male",2013-01-04,1e+05,"In Custody",NA,2013-01-04,"N","29800(a)(1)","PC","Felony",2013-02-01,"Dismissed/Not Guilty",0
2384529,2526755,3,"186.22(b)","PC","Enhancement",2013-02-01,"True","Hispanic","Male",2013-01-04,1e+05,"In Custody",NA,2013-01-04,"N","487(d)(1)","PC","Felony",2013-02-01,"Guilty",0
2384529,2526755,5,"186.22(b)","PC","Enhancement",2013-02-01,"True","Hispanic","Male",2013-01-04,1e+05,"In Custody",NA,2013-01-04,"N","2800.2","VC","Felony",2013-02-01,"Guilty",0
2384529,2526756,1,"186.22(b)","PC","Enhancement",2013-02-01,"Dismissed/Not True","Hispanic","Male",2013-01-04,1e+05,"In Custody",NA,2013-01-04,"N","25850(a)/(c)(3)","PC","Felony",2013-02-01,"Dismissed/Not Guilty",0
2384529,2526756,4,"186.22(b)","PC","Enhancement",2013-02-01,"Dismissed/Not True","Hispanic","Male",2013-01-04,1e+05,"In Custody",NA,2013-01-04,"N","10851(a)","VC","Felony",2013-02-01,"Dismissed/Not Guilty",0
2384529,2526756,5,"186.22(b)","PC","Enhancement",2013-02-01,"True","Hispanic","Male",2013-01-04,1e+05,"In Custody",NA,2013-01-04,"N","2800.2","VC","Felony",2013-02-01,"Dismissed/Not Guilty",0
2384611,2526840,1,"186.22(b)(1)","PC","Enhancement",2013-03-29,"True","Hispanic","Male",NA,1e+05,"In Custody",NA,2013-01-04,"N","29815(a)","PC","Felony",2013-03-29,"Guilty",0
2384611,2526840,4,"186.22(b)(1)","PC","Enhancement",2013-03-29,"True","Hispanic","Male",NA,1e+05,"In Custody",NA,2013-01-05,"N","29815(a)","PC","Felony",2013-03-29,"Guilty",0
2384611,2526840,5,"186.22(b)(1)","PC","Enhancement",2013-03-29,"True","Hispanic","Male",NA,1e+05,"In Custody",NA,2013-01-05,"N","459-460(b)","PC","Felony",2013-03-29,"Reduced",0
2384669,2526900,1,"186.22(b)","PC","Enhancement",2013-07-26,"Dismissed/Not True","Hispanic","Male",2013-01-07,1e+05,"In Custody",NA,2013-01-06,"N","459-460(a)","PC","Felony",2013-07-26,"Dismissed/Not Guilty",0
2384669,2526900,2,"186.22(b)","PC","Enhancement",2013-07-26,"Dismissed/Not True","Hispanic","Male",2013-01-07,1e+05,"In Custody",NA,2013-01-06,"Y","211/212.5(a)","PC","Felony",2013-07-26,"Dismissed/Not Guilty",0
2384669,2526902,1,"186.22(b)","PC","Enhancement",2013-07-26,"Dismissed/Not True","Hispanic","Male",2013-01-07,250000,"In Custody",NA,2013-01-06,"N","459-460(a)","PC","Felony",2013-07-26,"Guilty",1
2384669,2526902,2,"186.22(b)","PC","Enhancement",2013-07-26,"Dismissed/Not True","Hispanic","Male",2013-01-07,250000,"In Custody",NA,2013-01-06,"Y","211/212.5(a)","PC","Felony",2013-07-26,"Dismissed/Not Guilty",1
2384798,2527044,1,"186.22(b)(1)","PC","Enhancement",2014-12-16,"Dismissed/Not True","White","Male",NA,1e+06,"In Custody",NA,2013-01-04,"N","29800(a)(1)","PC","Felony",2014-12-16,"Guilty",1
2384883,2527133,1,"186.22(b)(1)","PC","Enhancement",2013-06-26,"Dismissed/Not True","Hispanic","Male",NA,NA,"Request for Warrant",NA,2012-11-20,"N","182(a)(1)","PC","Felony",2013-06-26,"Reduced",1
2384883,2527134,1,"186.22(b)(1)","PC","Enhancement",2013-06-26,"Dismissed/Not True","Hispanic","Male",NA,NA,"Request for Warrant",NA,2012-11-20,"N","182(a)(1)","PC","Felony",2013-06-26,"Reduced",1
