"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Crime Type_enhancement","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type_primary","Disposition Date_primary","Disposition_primary","Lesser Charge Plea","has_prior"
3452366,3469945,1,"186.22(b)(1)","PC","Enhancement",2023-12-06,"Dismissed/Not True","Hispanic","Male",2023-04-28,1e+06,"Appearance Date",NA,2023-04-28,"N","664(a)-187(a)","PC","Felony",2023-12-06,"Dismissed/Not Guilty",NA,0
3452366,3469945,2,"186.22(b)(1)","PC","Enhancement",2023-12-06,"Dismissed/Not True","Hispanic","Male",2023-04-28,1e+06,"Appearance Date",NA,2023-04-28,"N","245(a)(1)","PC","Felony",2023-12-06,"Guilty",NA,0
3453593,3471289,1,"186.22(b)(1)","PC","Enhancement",2025-01-28,"True","Hispanic","Male",2023-05-05,NA,"In Custody",NA,2023-02-18,"N","211/212.5(c)","PC","Felony",2025-01-28,"Guilty",NA,1
3453593,3471290,1,"186.22(b)(1)","PC","Enhancement",2025-01-02,"True","Hispanic","Male",2023-05-05,NA,"In Custody",NA,2023-02-18,"N","211/212.5(c)","PC","Felony",2025-01-02,"Guilty",NA,1
3453711,3471402,1,"186.22(b)(1)","PC","Enhancement",2023-07-20,"Dismissed/Not True","White","Male",2023-05-04,NA,"In Custody",NA,2023-03-02,"N","32","PC","Felony",2023-07-20,"Dismissed/Not Guilty",NA,0
3453803,3471502,1,"186.22(b)(1)","PC","Enhancement",2023-06-13,"Dismissed/Not True","Hispanic","Male",2023-05-05,NA,"In Custody",NA,2023-04-14,"N","211/212.5(c)","PC","Felony",2023-06-13,"Guilty",NA,0
3453803,3471502,2,"186.22(b)(1)","PC","Enhancement",2023-06-13,"Dismissed/Not True","Hispanic","Male",2023-05-05,NA,"In Custody",NA,2023-04-14,"N","245(a)(4)","PC","Felony",2023-06-13,"Reduced","245(a)(4) PC MISD",0
3453803,3471503,4,"186.22(b)(1)","PC","Enhancement",2023-06-13,"Dismissed/Not True","White","Male",2023-05-05,NA,"In Custody",NA,2023-05-01,"N","422(a)","PC","Felony",2023-06-13,"Reduced","422(a) PC MISD",1
3453813,3471513,1,"186.22(b)(1)","PC","Enhancement",2023-08-01,"True","Hispanic","Male",2023-05-05,NA,"In Custody",NA,2023-05-05,"N","626.9(b)/(f)(2)(A)(iii)","PC","Felony",2023-08-01,"Guilty",NA,0
3453813,3471513,2,"186.22(b)(1)","PC","Enhancement",2023-08-01,"True","Hispanic","Male",2023-05-05,NA,"In Custody",NA,2023-05-05,"N","25850(a)/(c)(6)","PC","Felony",2023-08-01,"Guilty",NA,0
3456159,3474092,1,"186.22(b)(1)","PC","Enhancement",2024-01-09,"Dismissed/Not True","Hispanic","Male",2023-05-16,NA,"In Custody",NA,2023-05-16,"N","25850(a)/(c)(6)","PC","Felony",2024-01-09,"Guilty",NA,0
3463189,3481730,1,"186.22(b)(4)","PC","Other",2023-08-15,"Dismissed/Not True","Hispanic","Male",2023-06-16,4e+05,"In Custody",NA,2023-06-04,"N","246","PC","Felony",2023-08-15,"Dismissed/Not Guilty",NA,1
3463189,3481730,2,"186.22(b)(1)","PC","Enhancement",2023-08-15,"Dismissed/Not True","Hispanic","Male",2023-06-16,4e+05,"In Custody",NA,2023-06-04,"N","245(b)","PC","Felony",2023-08-15,"Dismissed/Not Guilty",NA,1
3463189,3481730,3,"186.22(b)(1)","PC","Enhancement",2023-08-15,"Dismissed/Not True","Hispanic","Male",2023-06-16,4e+05,"In Custody",NA,2023-06-04,"N","245(b)","PC","Felony",2023-08-15,"Dismissed/Not Guilty",NA,1
3463189,3481730,4,"186.22(b)(1)","PC","Enhancement",2023-08-15,"Dismissed/Not True","Hispanic","Male",2023-06-16,4e+05,"In Custody",NA,2023-06-04,"N","29820(a)(1)(A)/(b)","PC","Felony",2023-08-15,"Dismissed/Not Guilty",NA,1
3463777,3482361,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-06-21,80000,"In Custody",NA,2023-04-07,"N","245(b)","PC","Felony",NA,NA,NA,0
3466157,3484972,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-06-29,1e+06,"In Custody",NA,2023-05-05,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3467037,3485939,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-07-05,NA,"In Custody",NA,2022-06-28,"N","187(a)","PC","Felony",NA,NA,NA,0
3467037,3485939,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-07-05,NA,"In Custody",NA,2022-06-28,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3467037,3485939,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-07-05,NA,"In Custody",NA,2022-07-26,"N","32","PC","Felony",NA,NA,NA,0
3467037,3485939,5,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-07-05,NA,"In Custody",NA,2022-12-03,"N","245(a)(4)","PC","Felony",NA,NA,NA,0
3467037,3485939,6,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-07-05,NA,"In Custody",NA,2023-03-31,"N","25850(a)/(c)(6)","PC","Felony",NA,NA,NA,0
3467037,3485939,7,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-07-05,NA,"In Custody",NA,2023-07-05,"N","25850(a)/(c)(6)","PC","Felony",NA,NA,NA,0
3467037,3485941,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Vietnamese","Male",2023-07-05,NA,"In Custody",NA,2022-06-28,"N","187(a)","PC","Felony",NA,NA,NA,0
3467037,3485941,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Vietnamese","Male",2023-07-05,NA,"In Custody",NA,2022-06-28,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3467280,3485940,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-07-05,NA,"In Custody",NA,2022-06-28,"N","187(a)","PC","Felony",NA,NA,NA,0
3467280,3485940,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-07-05,NA,"In Custody",NA,2023-06-28,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3467280,3485940,3,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-07-05,NA,"In Custody",NA,2023-06-28,"N","211/212.5(a)","PC","Felony",NA,NA,NA,0
3467280,3485940,8,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-07-05,NA,"In Custody",NA,2023-02-20,"N","594(a)/(b)(1)","PC","Felony",NA,NA,NA,0
3468560,3487600,1,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",2023-07-11,3e+06,"In Custody",NA,2023-06-20,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,1
3468560,3487601,1,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",2023-07-11,3e+06,"In Custody",NA,2023-06-20,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,1
3468560,3487602,1,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",2023-07-11,3e+06,"In Custody",NA,2023-06-20,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,1
